CREATE TABLE `accounts` (
  `Id` int(4) NOT NULL,
  `Accountname` varchar(35) DEFAULT NULL,
  `Accountowner` varchar(16) DEFAULT NULL,
  `Account Type` varchar(8) DEFAULT NULL,
  `Industry` varchar(19) DEFAULT NULL,
  `Website` varchar(29) DEFAULT NULL,
  `Tasksinvolved` varchar(3) DEFAULT NULL,
  `Eventsinvolved` varchar(3) DEFAULT NULL,
  `Activities Involved` varchar(3) DEFAULT NULL
) 

INSERT INTO `accounts` (`Id`, `Accountname`, `Accountowner`, `Account Type`, `Industry`, `Website`, `Tasksinvolved`, `Eventsinvolved`, `Activities Involved`) VALUES
(2, 'Laura Ashley', 'Tina Thomas', 'Customer', 'Technology', 'BetaPages.com', 'Yes', 'No', 'Yes'),
(3, 'Angel\'s', 'Thomas Mondrake', 'Prospect', 'Manufacturing', 'CompHotel.com', 'No', 'No', 'No'),
(4, 'DGS VolMAX', 'Thomas Mondrake', 'Prospect', 'Consulting', 'GraySmoke.com', 'No', 'No', 'No'),
(5, 'Mostow Co.', 'Harold Pawlan', 'Prospect', 'Manufacturing', 'WeightlossHelpline.com', 'Yes', 'No', 'Yes'),
(6, 'Gas Depot', 'Santa Cruz Clara', 'Prospect', 'Government/Military', 'BiteNails.com', 'No', 'No', 'No'),
(7, 'Rose Records', 'Santa Cruz Clara', 'Prospect', 'Financial Services', 'InformationAffiliate.com', 'No', 'No', 'No'),
(8, 'Circuit Design', 'Lazar Mathew', 'Customer', 'Government/Military', 'SaltLakeCityFlower.com', 'No', 'No', 'No'),
(9, 'Anthony\'s', 'Lazar Mathew', 'Customer', 'Financial Services', 'ThirdTechnology.com', 'No', 'No', 'No'),
(10, 'Jack Lang', 'Roger Terrence', 'Customer', 'Service Provider', 'PrisonMobile.com', 'Yes', 'Yes', 'Yes'),
(11, 'Great Western', 'Jasmine Frank', 'Customer', 'IT Services', 'AutoMining.com', 'Yes', 'No', 'Yes'),
(12, 'Carrols Restaurant Group', 'Lazar Mathew', 'Customer', 'Technology', 'NoMoratorium.com', 'Yes', 'Yes', 'Yes'),
(13, 'Adray', 'Santa Cruz Clara', 'Prospect', 'Pharma', 'CoalExpert.com', 'No', 'No', 'No'),
(14, 'Life Map', 'Lazar Mathew', 'Prospect', 'Service Provider', 'AfterFiesta.com', 'No', 'No', 'No'),
(15, 'Expo Superstore', 'Lazar Mathew', 'Customer', 'Manufacturing', 'GovernmentFlag.com', 'Yes', 'Yes', 'Yes'),
(16, 'Childrens Bargain Town', 'Augustine Paul', 'Customer', 'Service Provider', 'SanDiegoFuneralHome.com', 'Yes', 'Yes', 'Yes'),
(17, 'Yesterday\'s Records', 'David Love', 'Prospect', 'Government/Military', 'WirelessTiger.com', 'Yes', 'Yes', 'Yes'),
(18, 'Giant Open Air', 'Santa Cruz Clara', 'Customer', 'Education', 'ShopIncentive.com', 'No', 'No', 'No'),
(19, 'Smitty\'s Marketplace', 'Roger Terrence', 'Customer', 'IT Services', 'CostumeStyles.com', 'No', 'No', 'No'),
(20, 'Buckeye Furniture', 'Santa Cruz Clara', 'Prospect', 'Consulting', 'VogueGame.com', 'Yes', 'No', 'Yes'),
(21, 'Practi-Plan', 'Tina Thomas', 'Prospect', 'Government/Military', 'EffectBuilder.com', 'Yes', 'No', 'Yes'),
(22, 'Erb Lumber', 'Augustine Paul', 'Prospect', 'Government/Military', 'CapitalMile.com', 'No', 'No', 'No'),
(23, 'Netobill', 'Augustine Paul', 'Customer', 'Service Provider', 'TonerTraders.com', 'Yes', 'No', 'Yes'),
(24, 'Magna Consulting', 'Pete Zachariah', 'Customer', 'IT Services', 'TextbookReseller.com', 'No', 'No', 'No'),
(25, 'Music Den', 'Rozario Diego', 'Customer', 'Consulting', 'BurmaBeach.com', 'Yes', 'Yes', 'Yes'),
(26, 'Waccamaw Pottery', 'Santa Cruz Clara', 'Prospect', 'Service Provider', 'HaveNeeds.com', 'No', 'No', 'No'),
(27, 'Albers Super Markets', 'David Love', 'Prospect', 'Pharma', 'UniversalNewsletter.com', 'Yes', 'Yes', 'Yes'),
(28, 'Shabby Chic', 'Tina Thomas', 'Customer', 'Communications', 'BashBlog.com', 'No', 'No', 'No'),
(29, 'First Choice Yard Help', 'Santa Cruz Clara', 'Prospect', 'Education', 'TrashyTrends.com', 'Yes', 'No', 'Yes'),
(30, 'Witmark', 'Roger Terrence', 'Prospect', 'Communications', 'DieselCleaner.com', 'Yes', 'Yes', 'Yes'),
(31, 'Chatham', 'Augustine Paul', 'Customer', 'Pharma', 'NotebookLive.com', 'No', 'No', 'No'),
(32, 'Movie Gallery', 'Santa Cruz Clara', 'Customer', 'IT Services', 'GroupTraffic.com', 'No', 'No', 'No'),
(33, 'Laura Ashley Mother & Child', 'Lazar Mathew', 'Customer', 'Pharma', 'SoldierNews.com', 'Yes', 'No', 'Yes'),
(34, 'Destiny Realty Solutions', 'David Love', 'Customer', 'IT Services', 'HurricanePlane.com', 'Yes', 'Yes', 'Yes'),
(35, 'Corpbay', 'Augustine Paul', 'Prospect', 'IT Services', 'SatelliteSeeker.com', 'No', 'No', 'No'),
(36, 'Body Fate', 'Santa Cruz Clara', 'Prospect', 'Pharma', 'MaleOasis.com', 'No', 'No', 'No'),
